cond,arm,n,runs,engaged_pct,delay_s_per_run,ref_engaged,engage_agree_recorded_pct,recorded_delay_s_per_run,pos_median_ms,not_engaged_pct,engaged_when_ref_did_not,excess_s,shortfall_s,backlog_err_median_ms,backlog_cover_pct,reserve_median_ms,reserve_pctile_vs_realized,stages_without_history
12MP,st_mean5@exec,2947,116,17.678995588734306,1.010896551724138,465,82.5585341024771,3.799241379310345,192.0,30.967741935483872,200,56.304,58.339,-113.80000000000018,26.230064472344754,700.6,38.47980997624703,0.0
12MP,st_mean5+ovh@exec,2947,116,24.94061757719715,1.7899999999999998,465,88.93790295215473,3.799241379310345,255.0,15.268817204301076,341,117.965,29.624,-9.000000000000057,46.11469290804207,747.8000000000001,60.90939938920936,0.0
12MP,st_mean10,2947,116,27.315914489311165,2.696905172413793,465,76.78995588734307,3.799241379310345,246.0,33.333333333333336,495,254.641,61.099,-4.533333333333303,49.202578893790296,860.0000000000001,56.66779776043433,0.0
12MP,st_mean10+ovh,2947,116,36.71530369867662,3.8960431034482754,465,80.21717000339328,3.799241379310345,292.5,21.72043010752688,718,371.366,38.724,69.0,64.87953851374279,901.1,70.74991516796743,0.0
12MP,st_mean10@exec,2947,116,17.034272141160503,0.9844310344827586,465,81.9138106549033,3.799241379310345,192.5,36.344086021505376,206,58.825,63.93,-105.39999999999998,27.858839497794367,684.4000000000001,38.54767560230743,0.0
12MP,st_mean10+ovh@exec,2947,116,24.431625381744144,1.7341896551724139,465,88.42891075670173,3.799241379310345,239.5,22.150537634408604,358,121.056,39.189,-7.999999999999545,47.74346793349169,732.3000000000001,60.57007125890736,0.0
12MP,st_max3,2947,116,40.51577875805904,5.104353448275862,465,81.16728876823889,3.799241379310345,359.0,8.387096774193548,768,492.191,19.385,111.0,67.93349168646081,961.0,74.72005429250085,0.0
12MP,st_max3+ovh,2947,116,47.37020699015949,6.929706896551724,465,81.7780794027825,3.799241379310345,454.5,3.225806451612903,946,692.312,7.765,239.0,86.22327790973871,1009.0,85.54462164913471,0.0
12MP,st_max3@exec,2947,116,27.349847302341363,2.4762413793103453,465,90.60061079063453,3.799241379310345,301.0,9.03225806451613,383,188.178,20.233,4.0,51.577875805904306,784.0,63.14896504920257,0.0
12MP,st_max3+ovh@exec,2947,116,33.2880895826264,3.7023362068965517,465,93.14557176789955,3.799241379310345,398.0,3.225806451612903,531,317.99,7.818,123.0,80.18323719036307,834.0,82.4567356633865,0.0
12MP,st_max5,2947,116,46.182558534102476,6.44978448275862,465,82.62639972853749,3.799241379310345,419.0,4.301075268817204,916,640.292,11.416,207.0,80.28503562945369,1005.0,82.6603325415677,0.0
12MP,st_max5+ovh,2947,116,51.40821174075331,8.575439655172413,465,81.06549032914828,3.799241379310345,537.0,2.150537634408602,1060,880.682,5.23,379.0,90.39701391245333,1061.0,88.59857482185272,0.0
12MP,st_max5@exec,2947,116,32.03257550050899,3.5067068965517243,465,93.17950458092976,3.799241379310345,370.5,4.731182795698925,501,299.191,11.712,71.0,66.5761791652528,807.0,73.90566677977604,0.0
