backlog_pct,delay_pct
49.3857,3.3
49.8143,3.8286
50.2429,1.2429
50.2571,3.6714
50.2857,1.2286
50.4286,4.7571
50.4571,3.7286
50.5286,10.2714
50.5714,7.0714
50.6286,1.3429
50.6429,2.0286
50.6857,3.3714
50.7714,2.5429
50.8857,1.0286
50.9,3.2429
50.9,9.2
50.9714,12.2571
51.0143,0.7429
51.0571,1.0714
51.1,4.3857
51.1,13.9286
51.1143,4.6286
51.2857,3.5286
51.3857,0.4143
51.4143,2.3857
51.4714,1.2714
51.4714,3.6714
51.5286,5.5
51.8,11.9
51.8571,2.0143
51.8571,4.7143
51.9143,0.3429
51.9857,3.1286
52.0429,3.0429
52.1286,11.4571
52.1571,1.6429
52.2571,1.6571
52.3286,7.9
52.3571,8.8429
52.3714,3.6429
52.3857,3.7143
52.5286,11.1429
52.5571,7.5286
52.6,1.7429
52.6714,17.1571
52.8429,4.6714
53.0286,6.6143
53.0857,3.0857
53.3714,4.3714
53.4571,2.9143
53.5,4.4286
53.5571,3.0429
53.8143,2.8714
53.9,4.0
53.9286,11.5143
54.1286,9.2143
54.1429,9.9857
54.1571,3.7286
54.1571,5.8
54.2429,2.0571
54.5143,4.1
54.5286,5.0571
54.6714,3.4
54.8,1.6857
55.0571,0.4571
55.4143,1.7286
55.4714,1.3143
55.6571,1.8286
55.8286,12.1571
56.0429,7.6143
56.0571,5.5571
56.1143,4.0857
56.5143,0.6
56.5571,28.7143
56.9714,3.3
57.0,3.2429
57.1714,4.2143
57.1857,4.8
57.3,1.7
57.3,2.9429
57.4,1.3143
57.4143,9.9714
57.4429,3.6429
58.1429,1.5
58.2571,3.9286
58.3143,3.4571
58.3857,9.7857
58.4,3.8
58.4143,2.1714
58.4714,1.3286
58.5714,6.1571
58.5857,4.3429
58.6857,5.7714
58.7143,2.1429
58.8,1.8143
58.8286,0.4714
59.1429,1.5
59.2714,4.4714
59.7143,3.9714
59.8,0.4429
59.9571,8.9571
60.0429,0.5286
60.2143,10.7286
60.2429,3.1143
60.2429,3.9714
60.2714,0.6143
60.3429,0.9286
60.3857,3.4
60.4286,3.9
60.6143,9.5429
60.6571,1.3143
60.7286,0.3
60.7286,6.1
60.8571,6.3
60.9714,6.3286
61.0,6.0429
61.1429,2.6857
61.2143,7.7143
61.2571,3.1571
61.3286,2.9143
61.3286,4.6286
61.4286,2.4857
61.4857,4.1286
61.6286,0.3571
61.7,7.3571
61.7429,21.5429
61.8286,9.7714
61.9286,5.5714
62.1143,9.6714
62.3286,3.4571
62.5429,1.4429
62.5714,2.7571
63.0429,3.8857
63.3714,3.2571
63.8857,5.2286
64.0571,2.8429
64.0714,4.0286
64.1857,1.9571
64.3429,3.7
64.4714,1.2286
64.6857,3.9429
64.8714,1.4143
64.9,2.8
64.9143,2.9429
64.9143,5.8857
65.1429,1.7714
65.2286,3.3429
65.3571,4.2286
65.3714,1.2714
65.4429,0.9571
65.6429,4.5571
65.6429,7.1286
65.8,4.3
65.9429,3.4857
66.1429,2.6143
66.3143,18.1571
66.3857,2.9857
66.4429,3.3571
66.4714,0.1857
66.6857,13.5571
66.7286,2.0571
66.7429,0.3857
66.8,2.0
66.8286,3.4
66.9571,0.2286
67.0714,10.9143
67.2,4.1714
67.2143,3.5143
67.4571,10.1
67.5429,3.3857
68.0571,2.1143
68.2714,3.2429
68.3,2.9571
68.4286,2.3143
68.8286,3.9286
68.9571,5.4571
69.1714,3.5714
69.4714,1.9286
69.5,7.4857
69.6143,0.9429
69.6714,1.0286
69.6857,0.4286
69.7571,4.6714
70.4,2.6429
70.4714,2.3857
70.6286,3.5714
70.8143,2.3429
70.9857,2.1714
71.1,9.2571
71.1571,1.1286
71.3714,1.6143
71.4429,2.0
71.6714,0.0571
71.7286,3.0429
71.7714,6.0857
71.8143,3.0
72.0714,2.8571
72.9857,2.0
73.6143,3.7
74.0571,1.1143
74.2143,3.8714
74.3429,2.4143
75.4857,4.1143
75.5286,10.6429
76.9714,3.0286
78.1857,4.5429
78.7429,4.5143
79.2143,4.2857
79.8571,9.5571
80.0286,3.7143
80.1286,3.5857
80.3,9.2286
81.5286,3.9857
82.5857,2.7
83.5143,3.1571
85.4429,1.2571
86.3143,3.3429
