backlog_error_pts,pressure_pct
-0.36,-66.27
-0.8,-68.36
-0.17,-69.79
-0.14,-69.21
-0.14,-70.71
-0.26,-75.39
0.3,-78.21
3.97,-48.81
6.93,-44.56
3.56,-38.43
5.13,-33.26
5.16,-27.17
7.73,-21.53
8.99,-15.0
11.03,-6.49
9.61,0.53
5.09,-10.89
5.01,-17.93
9.33,-21.64
10.17,-23.19
14.06,-22.47
19.23,-23.23
13.31,-26.07
7.71,-32.24
3.83,-30.89
3.49,-27.67
-1.5,-23.2
-6.67,-21.13
-6.31,-21.74
-5.56,-20.09
-3.06,-19.64
-0.87,-18.86
0.44,-18.67
1.29,-20.43
3.07,-18.59
3.31,-67.74
0.01,-64.59
-0.41,-65.39
0.01,-59.4
-1.93,-49.46
-6.61,-41.99
-11.77,-36.43
-13.46,-29.41
-17.33,-21.44
-15.94,-17.23
-17.93,-12.0
-13.99,-5.5
-15.47,-3.03
-11.93,2.01
-12.24,-0.81
-4.31,0.59
-0.04,6.0
7.63,5.21
11.56,0.36
15.47,-8.21
18.64,-17.14
13.63,-25.49
9.59,-30.24
7.91,-29.01
5.04,-28.87
5.59,-27.76
3.81,-26.34
1.69,-26.33
3.14,-49.3
4.69,-44.93
2.8,-39.29
4.4,-33.0
4.56,-20.63
3.66,-10.06
0.3,-1.57
-1.11,-5.4
1.6,-3.31
2.54,-3.59
6.39,-4.69
12.2,-6.03
17.49,-10.9
8.06,-17.79
7.43,-24.21
4.16,-21.13
0.57,-17.96
-4.73,-18.8
-4.3,-12.41
-5.66,-13.13
-5.99,-12.91
-6.49,-13.84
-6.09,-10.94
-2.96,-12.14
-1.0,-12.41
0.83,-9.67
1.27,-9.71
3.91,-39.13
9.51,-27.49
14.56,-19.89
12.6,-11.76
7.51,-2.86
2.2,-1.94
-0.14,-14.33
5.14,-16.86
11.01,-16.11
15.89,-16.6
8.13,-23.66
6.63,-28.3
-0.94,-23.5
-2.87,-19.47
-8.13,-15.97
-5.54,-13.29
-3.64,-9.3
-3.51,-9.01
-1.49,-6.16
-0.5,-2.44
-0.29,-6.21
3.39,-8.76
5.83,-17.09
10.16,-25.07
15.27,-34.34
20.16,-41.26
25.87,-46.24
24.56,-47.37
5.84,-37.1
10.69,-27.4
3.39,-20.43
2.29,-13.96
2.7,-2.2
-1.14,6.77
0.24,-10.83
11.61,-21.84
20.87,-34.44
31.56,-47.33
9.66,-54.3
-1.94,-63.76
-0.8,-61.99
-1.11,-65.21
-0.49,-66.53
0.46,-70.76
0.67,-70.56
-0.14,-72.51
-0.89,-60.74
-3.64,-67.43
0.44,-68.53
0.81,-70.11
-0.67,-64.84
-0.93,-68.76
-0.3,-66.6
-1.29,-72.47
4.44,-40.73
8.64,-32.56
3.29,-26.17
2.71,-19.73
-1.89,-9.31
-2.71,-2.56
-0.94,8.44
-1.03,-6.54
9.14,-15.44
20.44,-26.49
29.44,-40.9
8.76,-52.31
-1.27,-62.4
-1.79,-60.91
-1.79,-61.46
-1.71,-59.44
-2.2,-62.0
-1.47,-62.23
0.33,-62.96
-0.7,-63.14
-2.04,-66.09
-0.19,-67.94
0.74,-67.36
-0.27,-67.7
-0.01,-70.29
-0.19,-64.74
-0.1,-66.03
3.87,-38.97
5.27,-34.44
1.74,-27.34
1.66,-17.59
3.96,-7.67
7.14,1.61
7.96,-5.76
10.14,-11.36
12.46,-19.57
17.73,-23.97
22.67,-26.81
10.23,-28.34
3.84,-32.59
2.49,-30.79
-3.54,-23.23
-4.06,-21.37
-3.99,-21.63
-4.89,-17.61
-4.47,-13.8
-5.5,-15.14
-3.39,-12.51
-3.61,-10.46
-3.36,-7.43
-3.47,-10.0
-1.07,-10.97
1.4,-8.66
2.71,-9.33
3.83,-9.01
2.6,-74.57
-0.51,-73.11
0.99,-72.27
2.1,-70.43
2.13,-68.87
1.39,-67.63
0.83,-65.59
-0.1,-63.49
-0.49,-60.97
-1.4,-59.13
-1.29,-57.16
-1.04,-55.17
-1.66,-53.57
-1.09,-51.63
-0.76,-49.13
-0.96,-47.44
-0.64,-45.04
-0.23,-42.8
-0.5,-40.83
-0.64,-38.46
-0.89,-38.33
0.17,-37.63
1.23,-37.14
2.24,-36.71
3.76,-36.27
5.14,-35.56
6.33,-34.21
7.23,-33.13
3.01,-73.57
0.26,-71.96
0.43,-69.8
0.0,-70.8
0.3,-70.07
0.63,-68.73
0.17,-66.6
-0.29,-64.69
-0.8,-30.14
-17.49,-45.89
-17.04,-43.27
-17.01,-41.77
-17.16,-39.89
-17.37,-38.37
-17.53,-36.84
-17.44,-35.54
1.01,-30.39
0.71,-31.06
2.47,-28.83
3.5,-29.51
4.27,-30.27
4.83,-31.31
3.2,-34.39
4.7,-36.73
4.6,-37.8
4.74,-40.44
6.04,-7.36
-9.34,-21.41
3.07,-73.49
-0.06,-71.67
0.56,-72.06
0.27,-71.79
0.54,-70.13
0.7,-68.63
0.5,-66.66
-0.23,-64.81
-0.77,-62.83
-1.26,-60.11
-1.33,-58.89
-0.93,-56.91
-0.57,-54.8
-0.99,-53.74
-0.27,-50.91
-0.59,-48.4
-1.14,-47.06
-1.23,-45.77
-0.81,-43.26
-1.44,-41.64
-1.89,-39.9
-1.73,-38.29
-1.04,-35.97
-1.06,-33.96
-1.2,-34.7
-0.31,-35.0
0.44,-34.46
1.79,-32.67
4.31,-72.51
-2.6,-69.77
1.03,-69.87
0.31,-69.24
0.91,-67.57
1.71,-64.43
0.81,-63.0
0.97,-59.71
-0.59,-57.27
-0.76,-55.03
-1.21,-52.74
-1.4,-50.04
-0.83,-48.4
-0.51,-45.93
-0.46,-44.06
-0.06,-40.59
-0.39,-38.83
-0.14,-36.26
-0.13,-34.79
-0.16,-33.66
0.54,-33.14
1.56,-31.84
2.63,-30.83
4.13,-29.89
5.34,-26.91
5.54,-23.24
4.67,-22.03
2.66,-68.69
0.41,-65.61
0.11,-65.5
0.17,-65.1
1.09,-62.54
1.51,-60.16
1.0,-57.7
0.04,-55.84
-0.54,-52.81
-1.14,-48.39
-2.06,-44.84
-2.89,-41.5
-4.2,-38.16
-5.27,-34.49
-6.47,-31.11
-8.0,-28.0
-7.79,-24.96
-7.3,-21.4
-7.99,-18.91
-7.07,-16.14
-5.61,-14.74
-5.06,-13.1
-2.73,-10.1
-2.26,-8.34
0.31,-0.84
