condition,slot,class,queued_pricing_error_s,backlog_error_s
12mp_normal,1,no_delay_required,0.765,0.34
12mp_normal,1,no_delay_required,0.6912,0.245
12mp_normal,1,no_delay_required,0.3565,-0.094
12mp_normal,1,no_delay_required,0.0416,-0.019
12mp_normal,1,no_delay_required,0.5947,0.508
12mp_normal,1,no_delay_required,1.2355,1.18
12mp_normal,1,no_delay_required,1.6318,1.526
12mp_normal,1,no_delay_required,1.007,0.396
12mp_normal,1,no_delay_required,0.9633,0.33
12mp_normal,1,no_delay_required,0.449,-0.107
12mp_normal,1,no_delay_required,-0.1526,-0.185
12mp_normal,1,no_delay_required,-0.1735,-0.222
12mp_normal,1,no_delay_required,-0.2407,-0.314
12mp_normal,1,no_delay_required,-0.2994,-0.391
12mp_normal,1,no_delay_required,-0.2199,-0.298
12mp_normal,1,no_delay_required,-0.35,-0.466
12mp_normal,1,no_delay_required,-0.3652,-0.467
12mp_normal,1,no_delay_required,-0.2627,-0.35
12mp_normal,1,no_delay_required,-0.151,-0.24
12mp_normal,1,no_delay_required,-0.0414,-0.181
12mp_normal,1,no_delay_required,0.0921,-0.031
12mp_normal,1,no_delay_required,0.3627,0.268
12mp_normal,1,no_delay_required,0.5467,0.449
12mp_normal,1,no_delay_required,0.6755,0.571
12mp_normal,1,no_delay_required,0.536,0.189
12mp_normal,1,no_delay_required,0.4736,0.105
12mp_normal,1,no_delay_required,0.5032,0.107
12mp_normal,1,no_delay_required,0.2437,0.042
12mp_normal,1,no_delay_required,0.6647,0.578
12mp_normal,1,no_delay_required,1.2242,1.167
12mp_normal,1,no_delay_required,1.5773,1.504
12mp_normal,1,no_delay_required,1.3636,0.818
12mp_normal,1,no_delay_required,0.8124,0.225
12mp_normal,1,no_delay_required,0.3304,-0.222
12mp_normal,1,no_delay_required,0.3018,-0.283
12mp_normal,1,no_delay_required,-0.2398,-0.334
12mp_normal,1,no_delay_required,-0.2579,-0.32
12mp_normal,1,no_delay_required,-0.1192,-0.173
12mp_normal,1,no_delay_required,-0.0663,-0.179
12mp_normal,1,no_delay_required,-0.0601,-0.161
12mp_normal,1,no_delay_required,-0.0612,-0.175
12mp_normal,1,no_delay_required,0.0357,-0.09
12mp_normal,1,no_delay_required,0.0222,-0.14
12mp_normal,1,no_delay_required,0.0953,-0.09
12mp_normal,1,no_delay_required,0.1923,0.001
12mp_normal,1,no_delay_required,0.2947,0.125
12mp_normal,1,no_delay_required,0.4635,0.337
12mp_normal,1,no_delay_required,0.5675,0.438
12mp_normal,1,no_delay_required,0.7057,0.573
12mp_normal,1,no_delay_required,1.615,0.945
12mp_normal,1,no_delay_required,0.8592,0.239
12mp_normal,1,no_delay_required,0.3281,-0.269
12mp_normal,1,no_delay_required,-0.1949,-0.179
12mp_normal,1,no_delay_required,0.0387,0.012
12mp_normal,1,no_delay_required,0.52,0.496
12mp_normal,1,no_delay_required,1.0401,0.975
12mp_normal,1,no_delay_required,1.4253,1.357
12mp_normal,1,no_delay_required,1.3907,0.775
12mp_normal,1,no_delay_required,0.8355,0.209
12mp_normal,1,no_delay_required,0.3115,-0.26
12mp_normal,1,no_delay_required,-0.2327,-0.301
12mp_normal,1,no_delay_required,-0.2636,-0.37
12mp_normal,1,no_delay_required,-0.2353,-0.314
12mp_normal,1,no_delay_required,-0.1731,-0.244
12mp_normal,1,no_delay_required,-0.1731,-0.285
12mp_normal,1,no_delay_required,-0.1386,-0.233
12mp_normal,1,no_delay_required,-0.1026,-0.21
12mp_normal,1,no_delay_required,0.0139,-0.117
12mp_normal,1,no_delay_required,0.1075,-0.012
12mp_normal,1,no_delay_required,0.1979,0.06
12mp_normal,1,no_delay_required,0.3043,0.183
12mp_normal,1,no_delay_required,0.628,0.102
12mp_normal,1,no_delay_required,0.429,-0.131
12mp_normal,1,no_delay_required,0.0149,-0.341
12mp_normal,1,no_delay_required,0.3118,0.382
12mp_normal,1,no_delay_required,1.0682,1.178
12mp_normal,1,no_delay_required,1.7865,1.626
12mp_normal,1,no_delay_required,1.0082,0.425
12mp_normal,1,no_delay_required,0.37,-0.208
12mp_normal,1,no_delay_required,0.3326,-0.268
12mp_normal,1,no_delay_required,-0.3398,-0.384
12mp_normal,1,no_delay_required,-0.2668,-0.347
12mp_normal,1,no_delay_required,-0.2852,-0.359
12mp_normal,1,no_delay_required,-0.4505,-0.554
12mp_normal,1,no_delay_required,-0.3502,-0.407
12mp_normal,1,no_delay_required,-0.2928,-0.362
12mp_normal,1,no_delay_required,-0.2489,-0.397
12mp_normal,1,no_delay_required,-0.3208,-0.45
12mp_normal,1,no_delay_required,-0.1074,-0.245
