queued_pricing_error_s,backlog_error_s
-0.2075,-1.134
-0.69,-1.06
-0.3271,-0.713
0.5218,1.009
1.1694,0.846
0.456,0.147
0.1746,0.091
0.3146,0.284
0.5818,0.211
0.3136,-0.025
-0.1063,-0.109
-0.104,-0.099
0.0189,0.031
-0.0173,-0.029
0.0371,0.025
0.0,0.0
0.003,-0.015
-0.0222,-0.023
0.0409,0.042
0.0,0.0
-0.0006,-0.006
1.419,0.399
0.4789,-0.204
-0.2915,0.027
-0.2322,0.056
-0.2558,-0.369
-0.2047,-0.307
-0.1626,-0.286
-0.1377,-0.269
-0.086,-0.641
-0.3831,-0.96
-0.7982,-0.185
0.2438,0.535
1.1207,1.397
2.131,1.937
1.243,0.68
0.7221,0.015
0.0256,-0.032
0.0794,0.06
0.0624,0.037
0.0349,0.033
-0.0231,-0.042
0.057,0.038
0.0911,0.074
-0.0198,-0.024
-0.0213,-0.027
0.0186,0.027
0.0174,0.009
-0.038,-0.04
-0.023,-0.024
-0.025,-0.019
0.0002,-0.002
0.0217,-0.007
-0.0314,-0.032
0.82,0.11
0.5734,-0.159
-0.3204,-0.191
0.3359,0.2
0.7986,0.913
1.2448,1.209
1.1699,0.646
0.636,0.102
0.2447,-0.327
-0.2002,-0.274
-0.3073,-0.408
-0.2504,-0.296
-0.1767,-0.261
-0.154,-0.264
-0.3013,-0.405
-0.1314,-0.2
-0.1179,-0.219
-0.2685,-0.405
0.0854,-0.1
0.716,0.563
1.0215,0.858
1.3792,1.199
1.7403,1.594
-3.93,-2.108
1.8546,1.239
1.3855,0.392
0.3411,-0.197
-0.1447,-0.165
-0.5213,-0.55
-0.4845,-0.534
-0.6207,-0.635
-0.2678,-0.273
-0.3432,-0.332
-0.3788,-0.456
-0.1703,-0.212
0.0109,-0.064
0.1255,0.02
0.1958,0.136
0.3134,0.209
0.3292,0.188
0.2875,0.128
0.2573,0.053
0.4018,0.219
0.4678,0.273
0.5314,0.336
0.6642,0.469
0.744,0.178
0.7898,0.185
0.5017,-0.06
0.9643,1.183
1.8237,1.769
0.5538,0.564
0.4238,-0.257
-0.0625,-0.097
0.155,0.176
-0.1876,-0.214
-0.2435,-0.312
-0.4388,-0.552
-0.2448,-0.326
-0.2342,-0.334
-0.194,-0.28
0.0187,-0.008
0.3104,0.21
0.4031,0.292
0.4599,0.33
0.3983,0.192
0.0264,-0.188
-0.3514,-0.554
-0.4601,-0.702
-0.4674,-0.649
-0.1882,-0.321
0.662,0.644
1.0747,1.025
0.5134,0.101
0.7997,0.306
1.1121,1.044
2.0558,1.718
1.2196,0.486
0.3263,-0.466
-0.1469,-0.15
0.072,0.061
-0.0183,-0.049
0.0743,0.031
0.0819,0.044
0.0755,0.009
-0.0024,-0.017
-0.0103,-0.01
-0.0364,-0.035
-0.0829,-0.066
-0.1515,-0.144
0.0346,0.047
0.0226,0.017
0.0495,0.048
0.0519,0.037
0.1529,0.152
0.786,0.185
0.2242,-0.158
-0.1982,-0.022
0.0262,0.01
0.0638,0.028
0.0908,0.076
0.1054,0.06
0.037,-0.026
-0.1519,-0.241
-0.3228,-0.45
-0.496,-0.576
-0.6691,-0.715
-0.7453,-0.812
-0.6701,-0.697
-0.6381,-0.615
-0.6319,-0.619
-0.6677,-0.665
-0.4797,-0.452
-0.4018,-0.37
-0.2633,-0.24
-0.0627,-0.061
0.193,0.152
0.3324,0.283
0.3115,0.273
0.02,-0.712
-0.209,-1.011
-0.189,0.054
0.4515,0.663
0.695,0.945
0.7706,0.982
1.0828,0.257
0.3166,-0.487
0.1726,-0.648
-0.3279,-0.45
-0.13,-0.159
0.0186,-0.112
-0.437,-0.64
-0.0858,-0.346
0.2591,0.047
0.725,0.545
1.2336,1.164
2.0174,1.718
1.8543,1.593
1.074,0.361
0.3808,-0.156
-0.1269,-0.004
-0.0432,-0.059
-0.0802,-0.113
-0.0922,-0.14
-0.1687,-0.179
-0.2618,-0.254
-0.3389,-0.351
-0.4711,-0.493
-0.4183,-0.434
-0.4575,-0.466
-0.4326,-0.406
-0.5017,-0.517
-0.4615,-0.456
-0.425,-0.473
-0.523,-0.58
-0.4219,-0.482
-0.1579,-0.213
0.0653,0.021
0.2278,0.176
0.4895,0.435
0.5751,0.52
0.5174,0.448
0.4538,0.432
1.084,-0.06
0.0221,-0.73
0.2569,-0.524
0.7127,-0.087
0.6316,1.32
1.7114,1.656
1.3419,0.856
0.9074,0.137
0.0136,-0.477
-0.3624,-0.888
-0.5785,-0.631
-0.6352,-0.727
-0.5612,-0.663
0.3987,0.376
0.629,0.559
0.978,0.895
1.2816,1.159
1.4971,1.334
1.3596,0.889
1.1131,0.66
0.9271,0.729
0.8736,0.445
0.8208,0.414
0.7902,0.701
0.8191,0.716
-1.111,0.469
-0.264,1.296
0.408,1.953
1.686,0.47
0.5227,-0.438
0.3819,-0.617
-0.1698,-0.81
0.1771,-0.472
0.4029,0.906
0.734,0.785
0.61,0.155
0.2786,-0.01
0.012,0.051
0.1054,0.178
0.2024,0.079
0.0953,-0.04
-0.0741,-0.105
-0.1397,-0.182
-0.2395,-0.243
-0.2875,-0.321
-0.3665,-0.417
-0.4054,-0.422
-0.2421,-0.27
-0.2418,-0.26
-0.2816,-0.317
-0.2474,-0.281
-0.2453,-0.266
-0.316,-0.362
-0.3792,-0.41
-0.2434,-0.296
-0.0499,-0.093
0.2245,0.174
0.3923,0.321
0.572,0.507
0.5117,0.467
0.4445,0.376
0.15,-0.258
-0.0127,-0.444
-0.3104,-0.081
-0.0991,0.088
0.0835,-0.039
-0.0042,-0.138
-0.0864,-0.122
-0.1153,-0.156
-0.1025,-0.155
-0.0429,-0.09
0.0312,-0.011
0.1097,0.091
0.0101,-0.015
0.1137,0.077
0.1345,0.076
0.1539,0.073
0.1278,0.021
0.0813,-0.036
0.1896,0.061
0.2546,0.132
0.3063,0.13
0.4229,0.223
0.6269,0.488
0.8128,0.689
1.0113,0.909
1.2158,1.087
1.234,1.104
0.222,-0.178
0.0699,-0.338
-0.3162,-0.149
-0.3343,-0.181
-0.2873,-0.314
-0.2461,-0.21
-0.3314,-0.333
-0.2086,-0.208
-0.1343,-0.147
0.026,0.01
0.0472,-0.062
0.016,0.024
